accuracy,precision,recall,f1,loss,epoch,stage
0.41501103752759383,0.35653808805974446,0.41501103752759383,0.33331562084064786,1.2908947385590652,1,train
0.48,0.4012903225806451,0.48,0.4329943502824859,1.2140497863292694,1,valid
0.5099337748344371,0.5791381473390913,0.5099337748344371,0.4375079951534939,1.1192656755447388,2,train
0.56,0.31360000000000005,0.56,0.40205128205128204,0.8449006974697113,2,valid
0.7086092715231788,0.7543971491762914,0.7086092715231788,0.6838629179321897,0.7695609618877542,3,train
0.82,0.8152380952380952,0.82,0.8160919540229884,0.6641913205385208,3,valid
0.8587196467991169,0.858354707552634,0.8587196467991169,0.8531527383419026,0.4648854686268445,4,train
0.84,0.8401428571428572,0.84,0.8317948717948718,0.41915619745850563,4,valid
0.9028697571743929,0.9018826844677681,0.9028697571743929,0.902088885819624,0.2957695483647544,5,train
0.88,0.9014095238095239,0.88,0.8831698113207546,0.4398917965590954,5,valid
0.9624724061810155,0.9629222617400921,0.9624724061810155,0.9624340388854955,0.156687097045882,6,train
0.9,0.8992118226600985,0.9,0.8988771929824562,0.2507460918277502,6,valid
0.9514348785871964,0.9516581735401921,0.9514348785871964,0.950937880186344,0.18062331797233944,7,train
0.92,0.9185221674876847,0.92,0.9185263157894736,0.23867367953062057,7,valid
0.9845474613686535,0.9846718778369304,0.9845474613686535,0.9845070022873273,0.07439029351647558,8,train
0.92,0.9185221674876847,0.92,0.9185263157894736,0.23072282783687115,8,valid
0.9955849889624724,0.9955849889624724,0.9955849889624724,0.9955849889624724,0.029806904783793563,9,train
0.9,0.907142857142857,0.9,0.8937435897435897,0.3123341426253319,9,valid
0.9889624724061811,0.9889605121393201,0.9889624724061811,0.988952761031,0.049155528753482065,10,train
0.92,0.925823754789272,0.92,0.9194338788146839,0.22998839803040028,10,valid
0.9977924944812362,0.9978036434990076,0.9977924944812362,0.997790106854182,0.02200461082674306,11,train
0.88,0.8876613756613757,0.88,0.8815353535353535,0.35119878500699997,11,valid
0.9126984126984127,0.9122023809523809,0.9126984126984127,0.9113411823888203,0.250276742503047,0,test
