accuracy,precision,recall,f1,loss,epoch,stage
0.4370860927152318,0.38035703379066466,0.4370860927152318,0.3512339322239887,1.2629785393846447,1,train
0.36,0.4373333333333333,0.36,0.3744596273291926,1.1978411674499512,1,valid
0.5231788079470199,0.5587477456023382,0.5231788079470199,0.46377537707483785,1.0992931230314846,2,train
0.6,0.4536170212765957,0.6,0.4781333333333333,0.7994860410690308,2,valid
0.6754966887417219,0.7232340135488795,0.6754966887417219,0.6385156898921022,0.8338140064272387,3,train
0.7,0.7476050830889541,0.7,0.676744623273038,0.6730262786149979,3,valid
0.8366445916114791,0.836922851939296,0.8366445916114791,0.831971414643795,0.5638116433702666,4,train
0.84,0.855,0.84,0.8307692307692308,0.37610045820474625,4,valid
0.8520971302428256,0.8485288792089034,0.8520971302428256,0.8488950834222193,0.41280268903436335,5,train
0.86,0.8753246753246754,0.86,0.8504043715846994,0.31491072475910187,5,valid
0.9161147902869757,0.9167122244065844,0.9161147902869757,0.9150548432320205,0.2561766505241394,6,train
0.86,0.8905185185185185,0.86,0.8621678321678321,0.40218247659504414,6,valid
0.9492273730684326,0.9496204510577924,0.9492273730684326,0.949192044754681,0.1850876511427863,7,train
0.92,0.9306837606837607,0.92,0.9212972300031125,0.2114697452634573,7,valid
0.9845474613686535,0.9847577193743592,0.9845474613686535,0.9845236767974075,0.08806096865185375,8,train
0.92,0.9242364532019703,0.92,0.9184384037015616,0.22605006070807576,8,valid
0.9933774834437086,0.9933997814792518,0.9933774834437086,0.9933806844382209,0.04165364304107839,9,train
0.9,0.9,0.9,0.8987692307692308,0.2040688660927117,9,valid
1.0,1.0,1.0,1.0,0.01933480938896537,10,train
0.88,0.8985185185185185,0.88,0.8822337662337663,0.2881598121020943,10,valid
0.9933774834437086,0.9933774834437086,0.9933774834437086,0.9933774834437086,0.027374733367870593,11,train
0.9,0.9,0.9,0.8987692307692308,0.20918025355786085,11,valid
1.0,1.0,1.0,1.0,0.010103975535081378,12,train
0.86,0.874065934065934,0.86,0.8617777777777778,0.2690125006483868,12,valid
0.9365079365079365,0.9365801102487817,0.9365079365079365,0.9358122736273996,0.2845674429554492,0,test
